,AAPL,AMGN,HON
AAPL,0.00030614643854628705,6.287047846844424e-05,9.848902565433168e-05
AMGN,6.287047846844424e-05,0.00022557912793280641,6.0775299182009516e-05
HON,9.848902565433168e-05,6.0775299182009516e-05,0.00018166842005020624
