open,high,low,close,Ticker
120.54170021925478,123.41498433079913,115.31134105569778,122.58708953857422,AAPL
121.69102056156322,122.29489311702532,119.05149320550255,122.0903549194336,AAPL
121.43775757680415,123.17146835413952,117.4054168564186,117.84371185302734,AAPL
119.40211317040608,121.6033452358005,118.04825992472897,118.10670471191406,AAPL
120.53194563410155,124.60324720609326,119.59691082635653,124.46688842773438,AAPL
125.07077944616279,125.3727157063762,121.75919289657611,121.8663330078125,AAPL
121.56439814767528,122.44099574374602,118.67162979614048,118.88591003417969,AAPL
118.58396379730593,120.38585416346811,115.53536025738819,117.00608825683594,AAPL
117.83398211644732,118.7690169305712,114.5126538027712,118.26253509521484,AAPL
117.7852730985796,117.85345248459532,113.18801326724598,113.33411407470703,AAPL
115.93467289998051,118.88587781443627,115.7009160813788,117.94110107421875,AAPL
118.52553226949556,118.99304601715157,116.34377667711071,116.86000061035156,AAPL
119.35341713456053,120.00599237807343,118.10670400337277,118.78849792480469,AAPL
117.26908344492222,118.01905686222865,116.06133086091033,117.88269805908203,AAPL
118.25279105319385,120.77543569972144,117.28853020817765,120.76569366455078,AAPL
122.43123557963636,123.91171295180644,121.47672411823375,122.30461883544922,AAPL
120.82415009129004,122.58707964634337,119.15861117334904,121.51568603515625,AAPL
119.68455580488242,119.97675740638225,117.19112988113343,117.39566802978516,AAPL
116.7820720526636,118.27228410779664,116.56779183514182,116.8697280883789,AAPL
117.20088850037816,120.64883370339138,117.13270910784668,120.18131256103516,AAPL
120.12286614601692,121.00919818208511,118.9638091293934,119.35340881347656,AAPL
119.62611271767288,119.70403413180044,116.94762541274689,116.96710205078125,AAPL
116.43143354135354,118.49630686413842,115.9054750318424,117.4541244506836,AAPL
117.22036189731419,118.32098161470867,115.82754797615723,118.05799865722656,AAPL
118.48657071923124,119.39238695881983,117.59049651669116,118.23332977294922,AAPL
116.98660451621751,117.26906411360106,115.76911009525196,116.78206634521484,AAPL
118.48655115112102,120.30791793555011,117.99955341308188,118.97354888916016,AAPL
120.44430093685868,120.9507753854183,119.30472042335516,119.80146026611328,AAPL
120.6488353850815,122.87928615898178,119.86963594729222,122.62604522705078,AAPL
123.21043811923847,123.82405264578033,122.38254338092113,122.927978515625,AAPL
122.55785008781349,124.59349702523619,121.88579084483872,124.57402038574219,AAPL
125.59673249128127,126.99928856495599,125.17792150755567,126.9700698852539,AAPL
126.42461457311639,129.58035037412546,126.1031942856078,129.54139709472656,AAPL
129.07388434312833,129.39530463290586,127.23303349221449,127.8271713256836,AAPL
128.99596262492872,131.15823376064404,128.49921542278324,130.9342041015625,AAPL
131.43098018165665,131.48941754486856,128.2362755221187,128.59664916992188,AAPL
130.34010100083557,131.48940869866695,130.16477406100063,131.00241088867188,AAPL
130.80763872455088,131.1680124141945,129.81415884861858,130.67127990722656,AAPL
130.0381714732957,131.9472097448359,129.87259397383497,131.33358764648438,AAPL
131.50887932231677,132.00561168739057,128.3823471626382,129.64854431152344,AAPL
128.91807261047788,130.27192605122198,127.88563953707525,130.02842712402344,AAPL
129.58038910212525,130.66152498796077,127.99278612277816,128.50900268554688,AAPL
128.72323846633472,131.6062565911259,128.72323846633472,130.8270721435547,AAPL
131.32383017529745,131.5478450047434,130.08685158645528,131.21669006347656,AAPL
131.49915149684074,131.88875868630524,130.62256132903624,130.89527893066406,AAPL
130.81735115204378,131.50889459107745,129.61934068424674,130.10633850097656,AAPL
132.92120973927757,133.5056131716573,129.00574241112523,130.0089569091797,AAPL
128.3530983774782,130.08680880809916,127.66157004294367,128.0414276123047,AAPL
128.6064011393442,130.58362632092104,128.40187034048927,129.09339904785156,AAPL
127.77848641989287,128.070688075214,123.40524078183631,124.52533721923828,AAPL
125.84023856195147,127.05773315883954,124.6422280399721,124.76885223388672,AAPL
124.56429785702491,126.37593028448455,123.8240591134078,126.36619567871094,AAPL
127.66379828936026,128.06380344320834,126.32714777247271,127.03938293457031,AAPL
126.25887677480436,126.38570115821472,123.7221806852606,123.7612075805664,AAPL
120.4927732833166,123.19532046962064,119.78054551827158,122.8440933227539,AAPL
120.39521236408822,121.60501628867115,119.27321336720668,119.78054809570312,AAPL
121.54645335187067,123.07822323359044,121.23424571494745,121.92695617675781,AAPL
123.17581112527975,124.77587651193251,122.78554964091157,124.34658813476562,AAPL
123.73193826034131,123.83926036065176,122.12211419930365,123.19532775878906,AAPL
123.47825894714309,123.8977887358132,121.74160317568686,121.80989837646484,AAPL
120.16105765432343,121.87819629608094,119.86835967667767,121.65380096435547,AAPL
122.1806452374261,124.61001150333645,122.05380598133526,124.20999145507812,AAPL
124.70758884704348,124.88320615344152,122.16114162608143,122.37578582763672,AAPL
122.94164921888921,124.82465387319235,122.87335402183648,124.0051040649414,AAPL
124.7075784829674,125.19541091008112,123.24410353248182,123.80998229980469,AAPL
123.8685296817526,124.28805950176616,123.34167776055286,123.7612075805664,AAPL
123.36118872845968,124.5319657543007,122.03430412924318,122.22943115234375,AAPL
122.51236771666937,122.73677048730885,121.51720801205188,121.57574462890625,AAPL
122.03429182182089,122.29771402080185,120.92205152635813,121.25376892089844,AAPL
121.25377238108098,122.19039542274523,121.02937706510446,122.01477813720703,AAPL
121.64403199734149,121.80989069682863,120.13177164794705,120.53179168701172,AAPL
121.04890215666704,123.08801464449839,120.83425795335646,122.8245849609375,AAPL
123.09777284097717,123.24412184649682,121.79040526387277,122.8343505859375,AAPL
123.51728685562117,125.33200387040455,123.13678395621102,123.65387725830078,AAPL
124.11242420165917,124.63927604647924,123.43922338156383,124.03437042236328,AAPL
