Date,Close,Open,High,Low
2023-01-03,233.98565673828125,237.40392951699792,240.01158153417768,231.85655337253039
2023-01-04,223.75038146972656,226.85611938033796,227.43233894450995,220.6837029776662
2023-01-05,217.118896484375,221.89471081098847,222.23654401593947,216.58173640623133
2023-01-06,219.67771911621094,217.79279312709332,220.4883398206325,214.22802915573828
2023-01-09,221.81658935546875,221.1622360976978,225.8403946978241,221.12317668189198
2023-01-10,223.50616455078125,222.44160564847758,225.90871312097227,222.02165366601915
2023-01-11,230.26461791992188,225.88921816868051,230.44040764705468,225.71342844154773
2023-01-12,232.94061279296875,229.7665026549743,234.2981546866577,228.10620187098192
2023-01-13,233.64381408691406,231.46589026262427,233.78054439645499,229.4344578762405
2023-01-17,234.7376708984375,232.41324073937315,235.28459213527947,231.55378456577233
2023-01-18,230.30369567871094,235.92920583478175,236.72028947485737,230.0204739060556
2023-01-19,226.51426696777344,228.32107414949724,230.02044931118633,225.2934553321454
2023-01-20,234.61073303222656,229.37589136268375,235.1185949210035,229.03405809278834
2023-01-23,236.9155731201172,235.47013642558932,239.44509106116212,234.05398311341634
2023-01-24,236.38819885253906,236.83746410442902,238.2536026618758,234.82556885560982
2023-01-25,234.99160766601562,229.00474220423706,237.6187968797975,225.50833563928637
2023-01-26,242.2090301513672,237.96059966957264,242.51178905465864,236.3491342606083
2023-01-27,242.36526489257812,243.1758855029759,243.996267240312,241.066319690554
2023-01-30,237.04257202148438,238.8005289422948,239.86508806743547,236.54447131176642
2023-01-31,242.02346801757812,237.765276343828,242.16019832764178,237.2769516789598
2023-02-01,246.84812927246094,242.20904474607445,249.22138009802924,239.73812302211383
2023-02-02,258.4214172363281,252.77638533264104,258.50931209894077,251.24303873990777
2023-02-03,252.3173828125,253.47959800298776,258.0307878622556,251.0965710413973
2023-02-06,250.77423095703125,251.42859910463446,252.26850319934903,248.83070838044688
2023-02-07,261.3122863769531,254.44644293620124,262.49402369384705,254.00693882575916
2023-02-08,260.501708984375,266.82063188656974,270.29750141679074,259.99383221379736
2023-02-09,257.46429443359375,267.4065775689988,267.58239710210876,256.6634348210044
2023-02-10,256.9564514160156,255.42310477455004,257.9233247404557,254.57342460398476
2023-02-13,264.9844970703125,261.39043477453396,268.187905604371,260.9118563468283
2023-02-14,265.81463623046875,266.3029608494868,268.54924217498206,262.9921056261591
2023-02-15,263.6900329589844,262.71093736345534,265.07056133423544,260.6156584468026
2023-02-16,256.669921875,258.50082598261054,261.1639673790336,256.42514795944504
2023-02-17,252.66537475585938,253.96758846436245,254.6529373660176,250.6484404767677
2023-02-21,247.38804626464844,249.16020664383558,250.14910261263643,246.33062138285374
2023-02-22,246.25230407714844,248.77837226249528,249.02314613774428,245.10676413376063
2023-02-23,249.44418334960938,250.21766227886485,251.47090341728688,245.24385497458428
2023-02-24,244.01019287109375,244.73472895258075,245.75298174565887,242.9136106416539
2023-02-27,244.93052673339844,247.18244930578683,247.53492427311554,244.1766190372043
2023-02-28,244.2060089111328,243.86333443445264,246.23274385931393,243.53043059507243
2023-03-01,241.12184143066406,245.51797045383339,245.68441488809174,240.6518648564876
2023-03-02,245.86068725585938,241.3960138819759,246.14461839541934,240.47566166300976
2023-03-03,249.9532928466797,246.91810564854498,250.27639616638209,246.1348262316736
